site,tree.num,urban.rural,urban.rank,date,dbh.cm,nox.dec_2013 ,nox.yr.2013,leaf.pct.herb.num,leaf.pct.herb,leaf.cn.molar,leaf.pct.n.num,leaf.pct.n,pct.urban.num,pct.urban,soil.ph,soil.no3.n,soil.p,soil.k,soil.ca,soil.mg,soil.s,soil.na,soil.nh4.n,soil.total.n
BNC,1,2,7,161,37,18.71930289,9.075136903,9.175331246,0.091753312,25.369,2.03,0.0203,33.44868215,0.334486822,7.51,11.9,19.879,228.758,3377.11,218.782,33.573,13.544,12.07,23.97
BNC,2,2,7,161,37.5,18.71930289,9.075136903,10.12208874,0.101220887,26.15,2.04,0.0204,33.44868215,0.334486822,7.56,14.74,22.27,210.317,3200.26,205.161,43.631,14.738,6.41,21.15
BNC,3,2,7,161,41,18.71930289,9.075136903,9.563549428,0.095635494,27.853,1.88,0.0188,33.44868215,0.334486822,7.67,13.88,13.761,319.809,3356.04,236.124,18.887,12.844,3.68,17.56
BNC,4,2,7,161,33,18.71930289,9.075136903,4.475563587,0.044755636,28.358,1.94,0.0194,33.44868215,0.334486822,7.74,8.8,19.888,345.388,4541.04,229.698,28.334,14.091,6.83,15.63
BNC,5,2,7,161,40,18.71930289,9.075136903,2.53564272,0.025356427,23.369,2.25,0.0225,33.44868215,0.334486822,7.75,15.4,27.642,257.07,4697.57,193.608,20.66,8.913,18.11,33.51
EMP,1,2,9,150,39,13.9935881,7.693829893,12.65795319,0.126579532,23.165,2.21,0.0221,11.88641815,0.118864182,7.9,11.4475,7.832,113.264,17944.1,172.605,20.009,10.415,9.06,20.5075
EMP,2,2,9,150,39,13.9935881,7.693829893,3.215618049,0.03215618,27.265,1.71,0.0171,11.88641815,0.118864182,7.85,12.8155,13.814,150.314,9834.24,133.781,18.412,7.95,15.01,27.8255
EMP,3,2,9,150,43,13.9935881,7.693829893,3.132784627,0.031327846,26.322,1.72,0.0172,11.88641815,0.118864182,7.58,10.013,14.596,123.475,4014.19,167.792,13.15,2.904,6.29,16.303
EMP,4,2,9,150,30.5,13.9935881,7.693829893,1.107844271,0.011078443,25.176,2.12,0.0212,11.88641815,0.118864182,7.7,10.4215,7.265,130.132,3331.13,182.81,14.598,3.549,3.28,13.7015
EMP,5,2,9,150,33.75,13.9935881,7.693829893,3.752387358,0.037523874,32.149,1.71,0.0171,11.88641815,0.118864182,7.42,9.8705,7.804,141.098,3383.04,108.309,5.703,2.948,2.95,12.8205
FWN,1,2,8,150,30,20.65874357,10.38506646,5.868092728,0.058680927,23.199,2.324285714,0.023242857,23.68817379,0.236881738,7.1,11.4855,27.975,351.389,1743.5,169.846,10.206,5.817,2.77,14.2555
FWN,2,2,8,150,43,20.65874357,10.38506646,3.287887264,0.032878873,24.555,2.334651163,0.023346512,23.68817379,0.236881738,7.14,13.1385,9.798,504.288,2867.82,395.822,17.073,17.585,4.29,17.4285
FWN,3,2,8,150,33,20.65874357,10.38506646,2.219829073,0.022198291,28.653,1.9803125,0.019803125,23.68817379,0.236881738,7.34,11.2195,50.409,166.239,2293.92,187.451,15.898,2.67,2.11,13.3295
FWN,4,2,8,150,39.5,20.65874357,10.38506646,9.99410216,0.099941022,19.913,2.85375,0.0285375,23.68817379,0.236881738,7.11,12.7205,22.304,154.343,1048.52,103.415,9.465,6.639,2.87,15.5905
FWN,5,2,8,150,47.25,20.65874357,10.38506646,4.31857447,0.043185745,26.336,2.160779221,0.021607792,23.68817379,0.236881738,7.71,13.1005,30.682,141.593,2417.55,106.257,14.579,8.305,6.12,19.2205
KSP,1,2,11,163,93.79,6.637231183,3.996267123,2.526489241,0.025264892,22.399,2.511971831,0.025119718,4.032549571,0.040325496,7.48,15.7035,70.165,223.038,2963.07,105.001,13.461,9.742,14.23,29.9335
