site,tree.num,urban.rural,urban.rank,date,dbh.cm,nox.dec_2013 ,nox.yr.2013,leaf.pct.herb.num,leaf.pct.herb,leaf.cn.molar,leaf.pct.n.num,leaf.pct.n,pct.urban.num,pct.urban,soil.ph,soil.no3.n,soil.p,soil.k,soil.ca,soil.mg,soil.s,soil.na,soil.nh4.n,soil.total.n
LLA,1,1,6,157,41,20.19410773,9.455344641,6.113958683,0.061139587,40.84,1.37,0.0137,50.97652594,0.509765259,7.75,8.8825,23.282,419.395,7125.68,195.304,10.746,9.367,4.18,13.0625
LLA,2,1,6,157,74.38,20.19410773,9.455344641,11.66906769,0.116690677,20.459,2.21,0.0221,50.97652594,0.509765259,7.76,9.291,12.503,272.871,4413.55,243.137,13.638,12.221,2.16,11.451
LLA,3,1,6,157,44,20.19410773,9.455344641,3.706655942,0.037066559,25.018,2.26,0.0226,50.97652594,0.509765259,7.8,11.1,32.119,284.622,6159.81,177.898,22.177,10.184,7.79,18.89
LLA,4,1,6,157,43,20.19410773,9.455344641,3.814933921,0.038149339,24.356,2.21,0.0221,50.97652594,0.509765259,7.18,8.8,7.213,255.34,3693.68,292.205,15.191,19.146,4,12.8
LLA,5,1,6,157,47,20.19410773,9.455344641,5.805679615,0.058056796,23.996,2.31,0.0231,50.97652594,0.509765259,6.61,7.94,12.158,346.191,3807.36,292.054,15.536,10.952,3.51,11.45
MCP,1,1,3,148,100,21.37453913,10.22934666,8.506212244,0.085062122,29.327,1.92,0.0192,70.44316507,0.704431651,7.93,13.737,53.433,572.511,11046,218.534,30.248,10.582,8.98,22.717
MCP,2,1,3,148,71.35,21.37453913,10.22934666,5.385938078,0.053859381,32.764,1.7,0.017,70.44316507,0.704431651,7.83,12.464,29.964,158.706,4410.92,129.256,12.993,2.833,7.03,19.494
MCP,3,1,3,148,55.99,21.37453913,10.22934666,3.587782017,0.03587782,27.039,2.11,0.0211,70.44316507,0.704431651,7.5,14.4495,46.868,188.657,1956.88,123.458,9.538,1.819,4.51,18.9595
MCP,4,1,3,148,72,21.37453913,10.22934666,4.856238957,0.04856239,29.697,1.72,0.0172,70.44316507,0.704431651,7.6,17.7175,62.355,375.106,3043.58,235.117,18.563,3.895,19.97,37.6875
MCP,5,1,3,148,36,21.37453913,10.22934666,16.30832605,0.163083261,17.952,3.266458333,0.032664583,70.44316507,0.704431651,7.62,26.391,104.009,446.008,11649.2,232.9,31.052,7.065,33.08,59.471
MTC,1,1,1,155,45,28.87346465,12.88903778,17.35390232,0.173539023,21.427,2.674375,0.02674375,85.89532738,0.858953274,8.24,11.78,18.297,372.645,9884.41,185.928,23.624,13.3,5.91,17.69
MTC,2,1,1,155,36.5,28.87346465,12.88903778,8.728253803,0.087282538,22.952,2.33038961,0.023303896,85.89532738,0.858953274,8.07,10.4405,14.015,321.245,10163.1,181.631,20.145,11.504,6.11,16.5505
MTC,3,1,1,155,44,28.87346465,12.88903778,9.949933037,0.09949933,27.59,2.118644068,0.021186441,85.89532738,0.858953274,8.01,10.2125,16.746,213.139,10316.5,139.714,69.01,12.266,4.84,15.0525
MTC,4,1,1,155,45,28.87346465,12.88903778,14.66177568,0.146617757,28.366,2.059722222,0.020597222,85.89532738,0.858953274,8.27,8.5785,17.539,279.667,10742.8,192.449,46.425,19.793,1.86,10.4385
MTC,5,1,1,155,NA,28.87346465,12.88903778,13.76035353,0.137603535,22.806,2.35796875,0.023579688,85.89532738,0.858953274,8.06,11.8465,25.609,359.493,8010.05,177.403,18.835,14.906,-0.18,11.6665
OMP,1,1,5,153,55.79,22.42694316,11.01649868,8.803134921,0.088031349,25.261,2.16,0.0216,60.32297671,0.603229767,7.78,18.06,42.083,600.39,9270.7,206.469,18.611,9.916,8.44,26.5
OMP,2,1,5,153,47.5,22.42694316,11.01649868,4.879415994,0.04879416,23.195,2.48,0.0248,60.32297671,0.603229767,7.95,8.58,5.769,338.393,14699.1,130.452,11.641,9.579,2.93,11.51
OMP,3,1,5,153,109.96,22.42694316,11.01649868,0.308171798,0.003081718,33.528,1.9,0.019,60.32297671,0.603229767,7.76,NA,41.112,864.861,11233.1,241.723,42.929,NA,27.92,NA
OMP,4,1,5,153,28.5,22.42694316,11.01649868,0.907667254,0.009076673,29.351,1.8,0.018,60.32297671,0.603229767,7.8,13.93,40.163,677.141,10586.1,208.858,23.791,11.274,18.13,32.06
OMP,5,1,5,153,34.2,22.42694316,11.01649868,1.801095421,0.018010954,19.72,2.61,0.0261,60.32297671,0.603229767,7.84,11.11,30.714,435.039,9209.16,178.106,23.411,7.791,27.09,38.2
RLP,1,1,2,148,67.91,20.97597177,9.852940956,1.850745404,0.018507454,23.302,2.418723404,0.024187234,77.41137987,0.774113799,7.99,13.604,32.894,317.776,23582.6,230.767,29.326,14.638,9.77,23.374
RLP,2,1,2,148,71.15,20.97597177,9.852940956,4.818596162,0.048185962,25.206,2.241384615,0.022413846,77.41137987,0.774113799,7.95,12.578,87.654,486.967,10820.9,170.628,16.639,11.195,6.79,19.368
RLP,3,1,2,148,38,20.97597177,9.852940956,50.40763291,0.504076329,22.405,2.607222222,0.026072222,77.41137987,0.774113799,7.64,20.7955,30.465,238.098,25731.8,268.247,29.655,14.653,10.9,31.6955
RLP,4,1,2,148,58.21,20.97597177,9.852940956,27.55505124,0.275550512,24.238,2.3214,0.023214,77.41137987,0.774113799,7.92,19.171,72.932,591.696,12016.8,280.293,21.324,6.62,11.06,30.231
RLP,5,1,2,148,49.5,20.97597177,9.852940956,13.76021166,0.137602117,26.904,1.876153846,0.018761538,77.41137987,0.774113799,7.99,14.3355,76.727,671.659,11180.7,277.676,19.117,11.475,21.18,35.5155
TGB,1,1,4,155,43,25.88603884,11.29567602,3.842643193,0.038426432,25.481,2.12,0.0212,66.0293637,0.660293637,5.96,35.04,75.482,283.719,1706.74,122.888,22.662,50.606,14.95,49.99
TGB,2,1,4,155,52.55,25.88603884,11.29567602,0.243701857,0.002437019,27.433,1.87,0.0187,66.0293637,0.660293637,7.4,8.96,48.034,288.618,2900.23,117.876,13.252,14.327,3.7,12.66
TGB,3,1,4,155,39.5,25.88603884,11.29567602,0,0,29.587,1.68,0.0168,66.0293637,0.660293637,7.22,8.27,63.7,312.287,3128.56,131.894,13.356,10.742,3.68,11.95
TGB,4,1,4,155,50.94,25.88603884,11.29567602,2.272425735,0.022724257,22.02,2.28,0.0228,66.0293637,0.660293637,7.34,8.71,89.04,337.939,3773.2,128.15,15.174,12.969,3.81,12.52
TGB,5,1,4,155,63.06,25.88603884,11.29567602,0.09524032,0.000952403,23.869,2.1,0.021,66.0293637,0.660293637,7.52,10.64,92.946,366.621,3942.65,110.3,17.931,9.489,6.42,17.06
