site,tree.num,urban.rural,urban.rank,date,dbh.cm,nox.dec_2013 ,nox.yr.2013,leaf.pct.herb.num,leaf.pct.herb,leaf.cn.molar,leaf.pct.n.num,leaf.pct.n,pct.urban.num,pct.urban,soil.ph,soil.no3.n,soil.p,soil.k,soil.ca,soil.mg,soil.s,soil.na,soil.nh4.n,soil.total.n
BNC,3,2,7,161,37.7,18.71930289,9.075136903,7.174435144,0.071744351,26.2198,2.028,0.02028,33.44868215,0.334486822,7.646,12.944,20.688,272.2684,3834.404,216.6746,29.017,12.826,9.42,22.364
EMP,3,2,9,150,37.05,13.9935881,7.693829893,4.773317499,0.047733175,26.8154,1.894,0.01894,11.88641815,0.118864182,7.69,10.9136,10.2622,131.6566,7701.34,153.0594,14.3744,5.5532,7.318,18.2316
FWN,3,2,8,150,38.55,20.65874357,10.38506646,5.137697139,0.051376972,24.5312,2.33075572,0.023307557,23.68817379,0.236881738,7.28,12.3329,28.2336,263.5704,2074.262,192.5582,13.4442,8.2032,3.632,15.9649
KSP,3,2,11,163,70.906,6.637231183,3.996267123,2.520858163,0.025208581,23.6238,2.391280321,0.023912803,4.032549571,0.040325496,7.922,13.7427,33.379,208.1014,5990.384,130.5954,13.1652,14.9228,14.222,27.9647
LLA,3,1,6,157,49.876,20.19410773,9.455344641,6.22205917,0.062220592,26.9338,2.072,0.02072,50.97652594,0.509765259,7.42,9.2027,17.455,315.6838,5040.016,240.1196,15.4576,12.374,4.328,13.5307
MCP,3,1,3,148,67.068,21.37453913,10.22934666,7.728899469,0.077288995,27.3558,2.143291667,0.021432917,70.44316507,0.704431651,7.696,16.9518,59.3258,348.1976,6421.316,187.853,20.4788,5.2388,14.714,31.6658
MTC,3,1,1,155,42.625,28.87346465,12.88903778,12.89084367,0.128908437,24.6282,2.30821993,0.023082199,85.89532738,0.858953274,8.13,10.5716,18.4412,309.2378,9823.372,175.425,35.6078,14.3538,3.708,14.2796
MWP,3,2,10,164,31,12.28877688,7.038453234,4.585153787,0.045851538,25.4866,2.066,0.02066,6.206534329,0.062065343,7.356,15.7738,20.8556,118.804,1867.72,191.489,14.5174,7.711,9.904,25.6778
OMP,3,1,5,153,55.19,22.42694316,11.01649868,3.339897078,0.033398971,26.211,2.19,0.0219,60.32297671,0.603229767,7.826,12.92,31.9682,583.1648,10999.632,193.1216,24.0766,9.64,16.902,27.0675
RLP,3,1,2,148,56.954,20.97597177,9.852940956,19.67844748,0.196784475,24.411,2.292976817,0.022929768,77.41137987,0.774113799,7.898,16.0968,60.1344,461.2392,16666.56,245.5222,23.2122,11.7162,11.94,28.0368
TGB,3,1,4,155,49.81,25.88603884,11.29567602,1.290802221,0.012908022,25.678,2.01,0.0201,66.0293637,0.660293637,7.088,14.324,73.8404,317.8368,3090.276,122.2216,16.475,19.6266,6.512,20.836
